booking_id,room_id,price_at_booking,number_of_rooms
1,1,0.0,1
2,1,0.0,1
3,2,75.0,1
4,2,75.0,1
5,2,98.0,1
6,2,98.0,1
7,1,107.0,1
8,1,103.0,1
9,2,82.0,1
10,3,105.5,1
11,4,123.0,1
12,3,145.0,1
13,3,97.0,1
14,5,154.77,1
15,4,94.71,1
16,3,97.0,1
17,4,97.5,1
18,2,88.2,1
19,2,107.42,1
20,5,153.0,1
21,6,97.29,1
22,2,84.67,1
23,2,84.67,1
24,3,99.67,1
25,3,94.95,1
26,3,63.6,1
27,3,79.5,1
28,4,107.0,1
29,2,94.0,1
30,3,87.3,1
31,2,62.0,1
32,3,63.86,1
33,4,108.3,1
34,2,65.5,1
35,3,108.8,1
36,3,108.8,1
37,2,98.0,1
38,3,108.8,1
39,3,108.8,1
40,4,137.0,1
41,5,117.81,1
42,3,79.5,1
43,6,123.0,1
44,4,137.0,1
45,2,110.7,1
46,5,153.0,1
47,2,58.95,1
48,4,82.88,1
49,2,82.35,1
50,4,119.35,1
51,3,67.58,1
52,2,56.01,1
53,3,110.7,1
54,2,88.2,1
55,7,147.0,1
56,1,107.0,1
57,7,147.0,1
58,2,117.9,1
59,5,123.0,1
60,2,98.0,1
61,5,117.81,1
62,4,135.0,1
63,6,133.0,1
64,2,58.95,1
65,2,136.33,1
66,5,153.0,1
67,2,110.5,1
68,3,97.0,1
69,2,110.3,1
70,2,82.0,1
71,3,97.0,1
72,2,73.8,1
73,2,91.5,1
74,2,114.5,1
75,2,110.3,1
76,2,90.9,1
77,4,123.0,1
78,2,122.0,1
79,2,110.7,1
80,3,85.86,1
81,2,58.95,1
82,2,55.68,1
83,2,55.68,1
84,2,124.0,1
85,4,111.15,1
86,4,134.73,1
87,6,92.45,1
88,2,108.73,1
89,2,73.8,1
90,2,98.0,1
91,2,131.0,1
92,4,123.0,1
93,1,94.71,1
94,2,123.0,1
95,2,123.0,1
96,2,73.8,1
97,6,117.0,1
98,4,196.54,1
99,3,99.3,1
100,4,90.95,1
101,2,92.67,1
102,3,71.55,1
103,6,96.49,1
104,2,85.8,1
105,4,96.3,1
106,7,163.0,1
107,3,172.0,1
108,2,110.7,1
109,2,58.95,1
110,2,73.8,1
111,3,97.0,1
112,4,139.0,1
113,2,67.24,1
114,4,116.5,1
115,4,96.3,1
116,2,123.0,1
117,3,71.55,1
118,3,71.55,1
119,3,149.0,1
120,7,163.0,1
121,3,79.5,1
122,2,105.0,1
123,4,123.0,1
124,2,73.8,1
125,3,113.0,1
126,7,0.0,1
127,4,123.0,1
128,2,73.8,1
129,2,114.5,1
130,2,73.8,1
131,2,73.8,1
132,2,88.2,1
133,3,97.0,1
134,2,85.1,1
135,2,89.0,1
136,2,80.1,1
137,2,98.0,1
138,2,101.0,1
139,3,97.0,1
140,5,167.0,1
141,5,225.0,1
142,3,97.0,1
143,3,87.3,1
144,2,85.59,1
145,4,123.0,1
146,4,107.0,1
147,7,163.0,1
148,2,82.0,1
149,7,163.0,1
150,3,105.5,1
151,1,164.2,1
152,6,97.29,1
153,2,114.0,1
154,4,98.4,1
155,7,175.0,1
156,3,63.6,1
157,3,124.45,1
158,3,110.7,1
159,2,74.07,1
160,3,134.1,1
161,5,167.0,1
162,2,123.0,1
163,5,117.81,1
164,3,171.32,1
165,5,210.0,1
166,3,97.0,1
167,5,117.81,1
168,2,0.0,1
169,4,0.0,1
170,2,131.0,1
171,2,98.0,1
172,3,87.3,1
173,3,97.0,1
174,4,167.0,1
175,2,91.5,1
176,2,73.8,1
177,4,123.0,1
178,6,175.0,1
179,2,117.8,1
180,4,117.63,1
181,5,185.0,1
182,2,71.0,1
183,2,47.25,1
184,2,151.0,1
185,3,87.3,1
186,2,120.6,1
187,3,63.86,1
188,6,157.1,1
189,3,91.37,1
190,2,73.0,1
191,3,110.7,1
192,2,93.6,1
193,3,83.5,1
194,2,73.8,1
195,2,82.0,1
196,6,185.5,1
197,2,0.0,1
198,2,0.0,1
199,2,109.8,1
200,1,195.0,1
201,2,109.8,1
202,7,193.0,1
203,3,97.0,1
204,3,150.0,1
205,2,98.0,1
206,2,91.5,1
207,4,139.0,1
208,3,79.5,1
209,2,47.25,1
210,3,126.65,1
211,4,107.0,1
212,2,131.0,1
213,2,131.0,1
214,2,123.0,1
215,3,146.0,1
216,2,110.7,1
217,2,73.8,1
218,2,61.0,1
219,2,104.72,1
220,2,104.72,1
221,2,104.72,1
222,2,66.42,1
223,4,77.96,1
224,3,112.0,1
225,4,107.0,1
226,3,89.68,1
227,4,155.0,1
228,2,112.0,1
229,4,130.1,1
230,4,100.1,1
231,1,123.0,1
232,2,124.0,1
233,7,146.0,1
234,3,97.0,1
235,1,123.0,1
236,5,153.0,1
237,2,82.0,1
238,2,105.08,1
239,2,65.42,1
240,2,98.0,1
241,2,75.46,1
242,2,65.5,1
243,2,90.95,1
244,2,93.6,1
245,4,119.25,1
246,4,134.73,1
247,2,112.0,1
248,2,118.13,1
249,2,131.0,1
250,2,88.2,1
251,2,73.8,1
252,2,98.0,1
253,2,110.5,1
254,2,131.0,1
255,5,185.0,1
256,3,87.3,1
257,2,73.8,1
258,1,120.0,1
259,2,98.0,1
260,4,96.3,1
261,6,197.0,1
262,6,197.0,1
263,4,123.0,1
264,2,82.0,1
265,1,165.0,1
266,5,149.4,1
267,2,106.84,1
268,3,161.0,1
269,3,134.43,1
270,4,144.43,1
271,4,152.0,1
272,6,125.54,1
273,1,133.83,1
274,1,159.75,1
275,2,120.6,1
276,3,112.2,1
277,6,110.6,1
278,1,105.9,1
279,3,95.27,1
280,6,108.83,1
281,2,153.96,1
282,2,120.6,1
283,2,90.67,1
284,4,126.67,1
285,3,144.4,1
286,2,99.5,1
287,4,139.4,1
288,2,73.8,1
289,4,89.97,1
290,4,123.0,1
291,4,123.0,1
292,2,123.0,1
293,2,144.9,1
294,5,153.0,1
295,2,131.0,1
296,2,100.0,1
297,2,65.5,1
298,1,123.0,1
299,4,123.0,1
300,2,131.0,1
301,3,104.68,1
302,2,166.0,1
303,3,111.25,1
304,5,213.75,1
305,4,178.0,1
306,2,113.9,1
307,4,129.29,1
308,5,153.0,1
309,2,98.0,1
310,2,169.0,1
311,2,93.0,1
312,2,132.29,1
313,3,123.0,1
314,2,117.22,1
315,3,149.0,1
316,1,164.57,1
317,2,107.0,1
318,2,117.22,1
319,4,119.25,1
320,3,123.0,1
321,2,105.71,1
322,3,123.0,1
323,4,144.43,1
324,4,126.0,1
325,2,148.3,1
326,2,125.22,1
327,3,123.0,1
328,2,130.0,1
329,3,133.16,1
330,2,78.84,1
331,2,80.1,1
332,5,193.0,1
333,2,88.2,1
334,6,90.71,1
335,2,114.5,1
336,2,120.2,1
337,3,79.5,1
338,2,117.9,1
339,2,128.0,1
340,2,90.95,1
341,4,107.0,1
342,5,130.05,1
343,3,123.0,1
344,6,103.8,1
345,7,196.0,1
346,3,149.4,1
347,5,175.71,1
348,2,119.7,1
349,2,100.86,1
350,2,100.86,1
351,2,82.0,1
352,2,73.8,1
353,2,117.9,1
354,2,82.0,1
355,8,150.0,1
356,2,161.0,1
357,2,64.0,1
358,4,123.0,1
359,3,110.0,1
360,2,88.2,1
361,2,130.0,1
362,2,88.2,1
363,4,165.0,1
364,2,114.0,1
365,3,79.5,1
366,2,132.8,1
367,3,120.0,1
368,3,79.5,1
369,3,120.0,1
370,3,144.2,1
371,2,107.2,1
372,3,120.0,1
373,3,120.0,1
374,4,163.8,1
375,2,98.5,1
376,2,130.5,1
377,3,153.0,1
378,2,98.5,1
379,2,119.7,1
380,3,184.6,1
381,4,181.22,1
382,2,100.86,1
383,2,100.2,1
384,2,134.25,1
385,2,96.3,1
386,3,83.09,1
387,3,105.5,1
388,2,134.0,1
389,2,8.0,1
390,3,146.0,1
391,4,126.0,1
392,2,111.15,1
393,4,136.2,1
394,2,101.8,1
395,2,127.0,1
396,4,161.5,1
397,7,230.67,1
398,2,65.7,1
399,2,180.0,1
400,2,168.57,1
401,2,107.67,1
402,2,96.9,1
403,2,107.0,1
404,2,73.41,1
405,3,109.9,1
406,3,109.9,1
407,7,187.5,1
