booking_id,weekend_nights,week_nights
1,0,0
2,0,0
3,0,1
4,0,1
5,0,2
6,0,2
7,0,2
8,0,2
9,0,3
10,0,3
11,0,4
12,0,4
13,0,4
14,0,4
15,0,4
16,0,4
17,0,4
18,0,1
19,0,1
20,0,4
21,1,4
22,2,4
23,2,4
24,2,4
25,2,5
26,2,5
27,2,5
28,2,5
29,2,5
30,2,5
31,4,10
32,4,11
33,2,8
34,2,4
35,1,3
36,1,3
37,1,3
38,1,3
39,1,3
40,2,3
41,2,3
42,2,3
43,2,3
44,2,3
45,2,5
46,2,5
47,2,5
48,2,5
49,2,5
50,2,5
51,2,5
52,3,8
53,4,10
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,2
61,0,2
62,0,2
63,0,3
64,0,3
65,0,3
66,0,2
67,0,2
68,0,2
69,0,2
70,0,2
71,0,2
72,0,2
73,0,2
74,0,2
75,0,2
76,1,2
77,1,2
78,2,2
79,2,2
80,2,6
81,2,7
82,3,7
83,3,7
84,3,7
85,3,7
86,4,10
87,4,10
88,6,15
89,0,1
90,0,1
91,0,1
92,0,1
93,0,1
94,0,1
95,0,2
96,0,2
97,2,5
98,2,5
99,2,5
100,2,5
101,2,1
102,2,1
103,2,4
104,2,4
105,2,5
106,2,5
107,2,5
108,2,5
109,2,5
110,2,5
111,2,5
112,2,5
113,2,5
114,2,6
115,2,6
116,2,6
117,4,6
118,4,6
119,4,6
120,0,1
121,0,1
122,0,1
123,0,1
124,0,1
125,0,1
126,0,1
127,0,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,2,0
142,2,0
143,2,2
144,2,3
145,2,3
146,2,3
147,2,4
148,2,4
149,2,4
150,2,5
151,2,5
152,2,5
153,2,5
154,2,5
155,4,5
156,4,6
157,4,6
158,4,7
159,4,10
160,4,10
161,1,4
162,1,3
163,1,3
164,1,3
165,1,3
166,1,3
167,1,3
168,0,0
169,0,0
170,1,0
171,1,1
172,1,1
173,1,2
174,1,3
175,1,3
176,1,3
177,1,4
178,1,4
179,1,5
180,1,5
181,2,5
182,2,5
183,2,5
184,3,5
185,3,7
186,3,7
187,3,7
188,3,7
189,3,7
190,3,8
191,4,10
192,4,10
193,2,5
194,0,2
195,0,3
196,0,3
197,0,0
198,0,0
199,0,1
200,0,1
201,0,1
202,0,4
203,0,4
204,0,4
205,0,4
206,0,5
207,2,5
208,2,5
209,2,5
210,4,10
211,0,3
212,0,4
213,0,4
214,0,4
215,0,4
216,0,4
217,0,4
218,0,1
219,0,1
220,0,1
221,0,2
222,1,4
223,2,4
224,2,5
225,2,5
226,2,5
227,2,5
228,2,6
229,2,7
230,2,7
231,0,1
232,0,2
233,0,2
234,0,3
235,0,3
236,0,3
237,0,3
238,1,3
239,1,3
240,1,3
241,2,3
242,2,3
243,2,5
244,2,5
245,2,5
